ra,ano,idade,ano_ingresso,inde,cg,cf,ct,iaa,ieg,ips,ipp,ida,mat,por,ing,ipv,ian,defasagem,evadiu,delta_defasagem,event_timestamp,fase_num,fase_ideal_num,pedra_num,tipo_inst_num,genero_masculino,pv_Sim
RA-590,2023,11,2020,7.6476665,378.0,84.0,3.0,6.3,9.7,3.77,7.2916665,6.5,5.7,7.3,6.5,8.34,10.0,0.0,0.0,1.0,2023-12-31,2,2,3,0,0,0
RA-469,2023,12,2022,7.4825335,437.0,95.0,4.0,7.5,9.3,2.52,7.9166665,7.8,6.8,8.8,7.8,8.843333,5.0,-1.0,0.0,-1.0,2023-12-31,2,3,3,2,0,0
RA-1119,2023,13,2023,7.192,544.0,118.0,7.0,7.3,9.7,3.77,7.7083335,5.9,3.0,8.8,5.9,8.453333,5.0,-1.0,0.0,,2023-12-31,2,3,3,2,0,0
RA-1120,2023,11,2023,9.103367,11.0,2.0,1.0,9.5,9.6,7.52,8.958333,8.3,7.3,9.2,8.4,9.676666,10.0,0.0,1.0,,2023-12-31,2,2,4,2,0,1
RA-472,2023,13,2022,6.6858,712.0,154.0,11.0,5.1,7.1,7.52,7.7083335,5.5,3.7,7.2,5.6,8.223333,5.0,-1.0,0.0,0.0,2023-12-31,2,3,2,2,0,0
RA-1121,2023,11,2023,8.049,211.0,43.0,2.0,0.0,9.9,6.26,8.75,8.0,6.5,9.5,8.0,9.84,10.0,0.0,0.0,,2023-12-31,2,2,4,2,1,1
RA-1122,2023,11,2023,7.3715,485.0,103.0,5.0,0.0,9.3,6.89,7.2916665,6.9,5.2,8.5,7.0,8.616667,10.0,0.0,0.0,,2023-12-31,2,2,3,2,1,0
RA-438,2023,11,2022,6.9883,618.0,133.0,8.0,6.9,7.5,6.26,6.4583335,5.4,3.5,7.3,5.4,7.2233334,10.0,0.0,0.0,0.0,2023-12-31,2,2,2,2,1,0
RA-408,2023,13,2022,7.242133,528.0,112.0,6.0,7.9,8.5,3.77,8.333333,6.8,6.0,7.5,6.9,8.45,5.0,-1.0,0.0,0.0,2023-12-31,2,3,3,2,0,0
RA-1123,2023,13,2023,6.9565,630.0,136.0,9.0,7.3,8.9,7.52,7.0833335,5.3,3.8,6.8,5.3,7.113333,5.0,-1.0,1.0,,2023-12-31,2,3,2,2,1,0
RA-1124,2023,14,2023,6.6678667,716.0,156.0,10.0,9.5,8.0,7.52,7.0833335,3.0,1.0,5.0,3.0,7.786667,5.0,-2.0,1.0,,2023-12-31,2,4,2,2,0,0
RA-623,2023,14,2022,7.8307,287.0,65.0,3.0,10.0,9.5,7.52,7.2916665,7.3,5.8,8.8,7.3,7.4466667,5.0,-2.0,0.0,0.0,2023-12-31,2,4,3,2,1,0
RA-661,2023,12,2022,6.8463335,656.0,141.0,8.0,0.0,7.7,6.89,7.5,6.5,4.3,8.7,6.5,7.8366666,10.0,0.0,1.0,1.0,2023-12-31,2,2,2,2,1,0
RA-626,2023,12,2021,7.2310333,532.0,115.0,4.0,9.0,9.2,4.39,7.2916665,6.5,4.7,8.3,6.5,7.613333,5.0,-1.0,0.0,0.0,2023-12-31,2,3,3,2,1,0
RA-433,2023,13,2022,6.5982,736.0,162.0,12.0,8.5,7.2,7.52,5.8333335,4.8,1.8,7.7,4.9,7.613333,5.0,-1.0,0.0,0.0,2023-12-31,2,3,2,2,1,0
RA-614,2023,13,2021,8.2282,162.0,37.0,1.0,9.0,9.1,7.52,8.333333,8.6,8.8,8.3,8.7,8.5633335,5.0,-1.0,0.0,1.0,2023-12-31,2,3,4,2,1,0
RA-434,2023,12,2022,7.0697665,587.0,130.0,5.0,6.3,8.0,7.52,7.5,6.6,5.2,8.0,6.6,7.613333,5.0,-1.0,0.0,-1.0,2023-12-31,2,3,3,2,1,0
RA-603,2023,11,2022,6.748833,694.0,149.0,9.0,0.0,8.9,2.52,7.7083335,7.0,5.7,8.2,7.1,7.78,10.0,0.0,0.0,1.0,2023-12-31,2,2,2,2,1,0
RA-436,2023,12,2022,5.3223667,915.0,197.0,14.0,7.5,4.7,2.52,6.875,3.4,3.7,3.0,3.5,7.613333,5.0,-1.0,1.0,-1.0,2023-12-31,2,3,1,2,1,0
RA-616,2023,13,2019,5.612,903.0,194.0,13.0,0.0,6.6,5.02,5.8333335,6.8,5.5,8.0,6.9,6.7833333,5.0,-1.0,0.0,1.0,2023-12-31,2,3,1,2,1,0
RA-437,2023,14,2022,6.9473667,632.0,138.0,7.0,8.0,8.4,7.52,7.2916665,4.7,2.5,6.8,4.8,7.78,5.0,-2.0,1.0,-1.0,2023-12-31,2,4,2,2,1,0
RA-1125,2023,11,2023,6.655367,719.0,157.0,11.0,4.7,7.9,7.52,6.6666665,4.0,1.0,7.0,4.0,6.95,10.0,0.0,1.0,,2023-12-31,2,2,2,2,0,0
RA-619,2023,11,2021,7.8913665,267.0,59.0,2.0,9.0,7.1,3.77,7.7083335,9.0,8.5,9.5,9.0,8.116667,10.0,0.0,1.0,1.0,2023-12-31,2,2,3,2,0,0
RA-620,2023,13,2021,7.043667,599.0,132.0,6.0,6.8,8.4,7.52,6.875,6.2,5.2,7.2,6.2,7.5033336,5.0,-1.0,0.0,1.0,2023-12-31,2,3,3,2,1,0
RA-1127,2023,11,2023,8.3167,135.0,30.0,2.0,8.5,9.9,5.02,8.125,6.9,5.0,8.7,7.0,9.01,10.0,0.0,0.0,,2023-12-31,2,2,4,2,0,1
RA-1128,2023,12,2023,6.4045334,790.0,176.0,9.0,9.5,7.3,5.02,7.9166665,3.5,3.0,4.0,3.5,7.5033336,5.0,-1.0,1.0,,2023-12-31,2,3,2,2,1,0
RA-1129,2023,11,2023,7.3093333,503.0,107.0,6.0,0.0,9.2,6.27,7.9166665,7.8,6.8,8.7,7.9,7.5033336,10.0,0.0,0.0,,2023-12-31,2,2,3,2,1,0
RA-1130,2023,11,2023,8.0037,230.0,46.0,4.0,8.5,8.4,7.52,7.7083335,7.3,6.3,8.2,7.4,7.5033336,10.0,0.0,0.0,,2023-12-31,2,2,4,2,1,0
RA-1131,2023,12,2023,8.3161335,136.0,31.0,3.0,7.9,9.9,5.02,8.75,9.1,8.3,9.8,9.2,9.286667,5.0,-1.0,0.0,,2023-12-31,2,3,4,2,0,1
RA-1132,2023,12,2023,6.829533,661.0,142.0,7.0,10.0,6.3,6.27,7.9166665,5.8,5.2,6.3,5.9,7.5033336,5.0,-1.0,1.0,,2023-12-31,2,3,2,2,1,0
RA-1133,2023,10,2023,8.600034,69.0,13.0,1.0,9.5,10.0,6.27,8.541667,6.5,5.0,8.0,6.5,9.343333,10.0,0.0,0.0,,2023-12-31,2,2,4,2,0,1
RA-1134,2023,11,2023,7.7698665,316.0,69.0,5.0,8.0,9.7,3.76,7.9166665,6.8,5.5,8.0,6.9,7.56,10.0,0.0,0.0,,2023-12-31,2,2,3,2,1,0
RA-618,2023,14,2020,6.4745,770.0,169.0,8.0,0.0,9.2,5.02,8.125,6.2,4.5,7.8,6.3,7.95,5.0,-2.0,0.0,0.0,2023-12-31,2,4,2,2,1,0
RA-631,2023,13,2022,5.9546666,867.0,189.0,10.0,0.0,6.4,6.27,7.9166665,7.0,6.0,8.0,7.0,6.78,5.0,-1.0,0.0,1.0,2023-12-31,2,3,1,2,1,0
RA-646,2023,13,2019,8.3547,124.0,24.0,2.0,10.0,8.9,7.52,8.958333,8.4,8.2,8.5,8.5,8.783334,5.0,-1.0,0.0,1.0,2023-12-31,2,3,4,2,1,0
RA-451,2023,14,2019,8.386033,114.0,22.0,1.0,8.5,9.5,4.39,9.375,8.9,7.8,10.0,8.9,9.896667,5.0,-2.0,1.0,-1.0,2023-12-31,2,4,4,2,0,1
RA-1135,2023,11,2023,7.453833,446.0,97.0,7.0,0.0,9.4,7.52,8.125,7.2,4.8,9.5,7.3,7.8966665,10.0,0.0,1.0,,2023-12-31,2,2,3,2,1,0
RA-649,2023,13,2019,7.579533,408.0,89.0,5.0,9.0,9.3,3.77,8.75,6.5,3.8,9.2,6.5,8.836667,5.0,-1.0,0.0,1.0,2023-12-31,2,3,3,2,0,0
RA-651,2023,11,2022,7.332,498.0,105.0,9.0,0.0,8.2,3.77,8.75,9.3,9.8,8.7,9.4,7.95,10.0,0.0,0.0,1.0,2023-12-31,2,2,3,2,0,0
RA-1136,2023,13,2023,6.7351,696.0,150.0,13.0,6.8,8.1,2.52,8.333333,6.6,4.8,8.3,6.7,7.7233334,5.0,-1.0,0.0,,2023-12-31,2,3,2,2,0,0
RA-653,2023,12,2022,7.385667,476.0,102.0,8.0,0.0,9.8,6.27,9.166667,7.9,7.7,8.0,8.0,9.06,5.0,-1.0,0.0,0.0,2023-12-31,2,3,3,2,0,1
RA-456,2023,12,2022,7.518,430.0,94.0,6.0,0.0,8.3,4.39,9.583333,9.9,9.7,10.0,10.0,9.953333,5.0,-1.0,0.0,0.0,2023-12-31,2,3,3,2,0,1
RA-655,2023,13,2019,8.3198,132.0,29.0,4.0,7.4,9.9,7.52,9.166667,8.3,7.2,9.3,8.4,8.896667,5.0,-1.0,0.0,1.0,2023-12-31,2,3,4,2,0,0
RA-656,2023,12,2020,6.7808332,683.0,147.0,12.0,0.0,8.9,7.52,8.541667,7.3,5.8,8.8,7.3,7.173333,5.0,-1.0,0.0,0.0,2023-12-31,2,3,2,2,0,0
RA-657,2023,13,2021,8.3532,125.0,25.0,3.0,8.5,10.0,7.52,8.75,8.2,7.0,9.3,8.3,8.73,5.0,-1.0,0.0,1.0,2023-12-31,2,3,4,2,0,0
RA-644,2023,12,2021,6.897033,642.0,140.0,11.0,10.0,5.6,7.52,8.541667,5.9,4.0,7.7,6.0,7.5033336,5.0,-1.0,1.0,0.0,2023-12-31,2,3,2,2,0,0
RA-461,2023,12,2018,7.2379,530.0,114.0,10.0,7.3,7.9,3.77,8.541667,7.4,5.7,9.0,7.5,8.616667,5.0,-1.0,0.0,0.0,2023-12-31,2,3,3,2,0,0
RA-632,2023,11,2022,7.8768,274.0,62.0,6.0,4.7,9.1,5.64,8.333333,7.4,6.8,8.0,7.4,8.5633335,10.0,0.0,0.0,1.0,2023-12-31,2,2,3,2,0,0
RA-633,2023,12,2020,6.6552,720.0,158.0,11.0,1.7,8.1,6.27,8.541667,7.2,5.3,9.0,7.3,7.286667,5.0,-1.0,0.0,0.0,2023-12-31,2,3,2,2,0,0
RA-1137,2023,10,2023,8.743366,41.0,7.0,2.0,9.5,9.8,6.27,9.375,6.5,6.0,7.0,6.5,9.843333,10.0,0.0,0.0,,2023-12-31,2,2,4,2,0,1
RA-1138,2023,12,2023,8.3472,128.0,27.0,4.0,9.0,9.2,6.27,9.166667,9.3,9.0,9.5,9.4,8.566667,5.0,-1.0,1.0,,2023-12-31,2,3,4,2,0,0
RA-1139,2023,11,2023,7.6647,373.0,82.0,8.0,8.5,9.1,5.64,8.125,5.3,6.3,4.3,5.3,7.79,10.0,0.0,0.0,,2023-12-31,2,2,3,2,1,0
RA-1140,2023,11,2023,7.703533,352.0,76.0,7.0,4.7,8.7,7.52,7.7083335,7.3,8.5,6.0,7.4,7.62,10.0,0.0,0.0,,2023-12-31,2,2,3,2,0,0
RA-445,2023,13,2022,7.9087,263.0,57.0,5.0,8.0,8.8,6.89,8.541667,8.4,7.7,9.0,8.5,8.176666,5.0,-1.0,0.0,0.0,2023-12-31,2,3,3,2,1,0
RA-1141,2023,12,2023,7.2757,516.0,109.0,10.0,9.0,8.8,7.52,7.7083335,5.9,5.5,6.2,6.0,7.113333,5.0,-1.0,0.0,,2023-12-31,2,3,3,2,0,0
RA-639,2023,11,2021,7.5853,404.0,88.0,9.0,7.4,8.1,6.27,8.125,6.3,4.8,7.8,6.3,7.62,10.0,0.0,0.0,1.0,2023-12-31,2,2,3,2,0,0
RA-1142,2023,11,2023,9.175034,6.0,1.0,1.0,9.0,10.0,7.52,8.541667,10.0,10.0,10.0,10.0,8.343333,10.0,0.0,0.0,,2023-12-31,2,2,4,2,0,0
RA-642,2023,11,2021,8.416866,108.0,21.0,3.0,9.5,9.2,6.27,8.75,6.5,5.7,7.2,6.6,9.173333,10.0,0.0,0.0,1.0,2023-12-31,2,2,4,2,0,1
RA-658,2023,10,2022,8.438534,100.0,18.0,4.0,9.5,9.5,7.52,7.9166665,6.1,5.3,6.8,6.2,9.173333,10.0,0.0,0.0,1.0,2023-12-31,2,2,4,2,0,1
RA-588,2023,10,2021,8.3527,126.0,26.0,5.0,8.0,9.6,2.52,8.958333,7.8,7.5,8.0,7.9,9.673333,10.0,0.0,0.0,0.0,2023-12-31,2,2,4,0,0,1
RA-662,2023,12,2022,6.7335668,697.0,151.0,11.0,6.8,7.6,6.27,7.2916665,6.7,4.3,9.0,6.8,6.72,5.0,-1.0,0.0,0.0,2023-12-31,2,3,2,2,0,0
RA-403,2023,13,2020,7.716367,347.0,74.0,7.0,8.5,8.8,6.27,7.2916665,7.8,6.8,8.8,7.8,8.45,5.0,-1.0,0.0,0.0,2023-12-31,2,3,3,2,1,0
RA-591,2023,12,2021,7.1472,561.0,122.0,9.0,9.0,8.5,6.27,5.8333335,6.9,6.2,7.5,7.0,7.3333335,5.0,-1.0,0.0,0.0,2023-12-31,2,3,3,2,1,0
RA-592,2023,11,2020,7.935467,255.0,53.0,6.0,6.2,9.2,3.77,7.9166665,7.6,5.5,9.7,7.6,8.95,10.0,0.0,0.0,1.0,2023-12-31,2,2,3,0,0,0
RA-602,2023,12,2019,8.5592,73.0,14.0,3.0,10.0,9.6,7.52,8.75,8.1,7.3,8.8,8.2,9.51,5.0,-1.0,0.0,0.0,2023-12-31,2,3,4,2,1,1
RA-666,2023,11,2022,8.7203665,42.0,8.0,1.0,9.5,9.1,7.52,8.541667,7.1,6.7,7.5,7.1,9.62,10.0,0.0,0.0,1.0,2023-12-31,2,2,4,2,1,1
RA-667,2023,12,2021,6.7748666,688.0,148.0,10.0,9.0,6.9,6.89,7.0833335,5.2,3.0,7.3,5.3,7.8366666,5.0,-1.0,0.0,0.0,2023-12-31,2,3,2,2,1,0
RA-422,2023,13,2022,5.57,905.0,195.0,14.0,0.0,7.8,7.52,6.6666665,4.4,3.0,5.7,4.5,6.1066666,5.0,-1.0,0.0,0.0,2023-12-31,2,3,1,2,1,0
RA-595,2023,13,2018,5.0786667,921.0,198.0,15.0,0.0,7.0,7.52,6.6666665,3.3,3.2,3.3,3.4,5.55,5.0,-1.0,1.0,1.0,2023-12-31,2,3,1,2,1,0
RA-423,2023,13,2022,6.6075335,733.0,160.0,12.0,8.0,8.7,6.89,7.0833335,3.4,2.3,4.5,3.4,7.45,5.0,-1.0,0.0,0.0,2023-12-31,2,3,2,2,0,0
RA-669,2023,11,2022,7.345033,491.0,104.0,8.0,8.5,7.8,7.52,7.7083335,5.0,3.3,6.7,5.0,7.06,10.0,0.0,0.0,1.0,2023-12-31,2,2,3,2,1,0
RA-670,2023,11,2022,8.6067,67.0,12.0,2.0,9.5,8.7,7.52,8.958333,7.0,5.8,8.2,7.0,9.343333,10.0,0.0,0.0,1.0,2023-12-31,2,2,4,2,0,1
RA-609,2023,12,2019,6.463033,775.0,173.0,13.0,9.5,6.4,7.52,6.875,5.3,3.2,7.3,5.4,6.2166667,5.0,-1.0,1.0,0.0,2023-12-31,2,3,2,2,1,0
RA-326,2023,13,2022,8.65075,59.0,1.0,1.0,9.6,9.4,3.14,9.0625,8.2,8.3,7.5,8.8,9.76,10.0,0.0,0.0,1.0,2023-12-31,3,3,4,0,0,1
RA-179,2023,12,2022,8.437642,101.0,2.0,2.0,8.8,9.4,7.52,8.59375,6.4,8.7,6.3,4.3,8.9225,10.0,0.0,0.0,0.0,2023-12-31,3,3,4,2,1,0
RA-1143,2023,15,2023,6.4459333,781.0,96.0,5.0,8.8,7.0,6.26,7.5,5.3,6.0,6.3,3.5,6.2075,5.0,-2.0,0.0,,2023-12-31,3,5,2,2,0,0
RA-330,2023,15,2018,6.084875,843.0,110.0,6.0,9.6,7.2,6.89,6.71875,3.3,3.8,3.8,2.3,5.8275,5.0,-2.0,1.0,0.0,2023-12-31,3,5,2,2,0,0
RA-332,2023,14,2017,8.002592,232.0,14.0,3.0,9.2,8.4,8.76,8.28125,6.8,6.3,7.7,6.5,9.175,5.0,-1.0,0.0,0.0,2023-12-31,3,4,4,0,1,1
RA-199,2023,14,2022,7.8923416,266.0,16.0,4.0,9.2,7.6,7.51,7.96875,8.5,8.2,8.2,9.2,8.505,5.0,-1.0,0.0,-1.0,2023-12-31,3,4,3,0,1,0
RA-1144,2023,13,2023,7.410625,463.0,43.0,4.0,0.0,9.4,5.02,8.28125,8.0,7.0,8.2,8.8,8.0025,10.0,0.0,1.0,,2023-12-31,3,3,3,2,0,0
RA-352,2023,12,2019,7.8403416,283.0,19.0,1.0,9.2,8.1,6.26,7.96875,7.2,8.2,6.0,7.5,7.17,10.0,0.0,0.0,0.0,2023-12-31,3,3,3,2,1,0
RA-1145,2023,11,2023,7.484375,436.0,40.0,3.0,0.0,9.5,4.39,8.59375,7.8,7.7,7.7,8.0,8.63,10.0,1.0,1.0,,2023-12-31,3,2,3,2,0,0
RA-1146,2023,14,2023,6.6895833,710.0,85.0,11.0,9.6,8.8,6.26,7.1875,3.7,5.0,3.3,2.7,6.965,5.0,-1.0,0.0,,2023-12-31,3,4,2,2,0,0
RA-331,2023,13,2019,7.0397916,600.0,67.0,9.0,9.6,8.6,2.52,7.03125,5.2,5.7,4.8,5.2,6.7975,10.0,0.0,0.0,1.0,2023-12-31,3,3,3,2,0,0
RA-227,2023,13,2022,7.722125,343.0,29.0,2.0,9.6,7.5,5.63,8.28125,6.9,7.2,6.5,7.0,7.4625,10.0,0.0,0.0,0.0,2023-12-31,3,3,3,2,1,0
RA-247,2023,13,2021,7.221958,534.0,57.0,7.0,0.0,8.5,7.52,8.28125,7.2,6.5,6.7,8.3,7.5425,10.0,0.0,0.0,0.0,2023-12-31,3,3,3,2,0,0
RA-343,2023,15,2020,6.7795916,687.0,83.0,10.0,9.2,7.2,6.26,7.65625,5.7,4.5,6.7,6.0,6.9225,5.0,-2.0,1.0,0.0,2023-12-31,3,5,2,2,1,0
RA-1147,2023,14,2023,7.0729833,585.0,65.0,8.0,8.3,8.3,6.26,7.1875,6.7,5.0,7.5,7.5,7.0075,5.0,-1.0,0.0,,2023-12-31,3,4,3,2,0,0
RA-345,2023,14,2021,6.5347667,754.0,91.0,12.0,8.8,6.8,6.26,8.125,4.6,5.7,5.7,2.5,7.1725,5.0,-1.0,1.0,0.0,2023-12-31,3,4,2,2,1,0
RA-336,2023,14,2016,5.887708,878.0,119.0,13.0,0.0,7.5,6.89,7.34375,5.1,6.7,5.2,3.3,7.255,5.0,-1.0,0.0,0.0,2023-12-31,3,4,1,2,1,0
RA-346,2023,11,2022,7.3055415,506.0,54.0,5.0,0.0,9.4,8.14,7.96875,6.2,6.7,5.5,6.5,7.84,10.0,1.0,0.0,1.0,2023-12-31,3,2,3,2,1,0
RA-1148,2023,11,2023,7.2278666,533.0,56.0,6.0,7.9,8.6,3.77,7.5,5.7,5.7,5.3,6.2,7.2125,10.0,1.0,1.0,,2023-12-31,3,2,3,2,0,0
RA-1149,2023,14,2023,7.4101086,464.0,44.0,3.0,8.3,9.8,2.52,7.96875,7.2,6.0,6.8,8.7,8.1725,5.0,-1.0,0.0,,2023-12-31,3,4,3,2,0,0
RA-1150,2023,16,2023,7.0760083,583.0,64.0,4.0,9.2,9.8,2.52,7.96875,6.7,7.0,6.5,6.5,7.835,2.5,-3.0,0.0,,2023-12-31,3,6,3,2,1,0
RA-1151,2023,12,2023,7.8299584,288.0,20.0,1.0,7.5,9.5,2.52,7.65625,8.3,7.3,8.8,8.7,7.545,10.0,0.0,0.0,,2023-12-31,3,3,3,2,0,0
RA-356,2023,13,2019,6.4520082,777.0,95.0,7.0,9.2,8.5,2.52,6.09375,3.4,4.3,4.5,1.3,6.5025,10.0,0.0,0.0,1.0,2023-12-31,3,3,2,2,1,0
RA-1152,2023,14,2023,6.5449166,750.0,90.0,6.0,0.0,9.4,5.0,7.8125,6.8,6.7,6.0,7.8,7.585,5.0,-1.0,1.0,,2023-12-31,3,4,2,2,1,0
RA-221,2023,15,2022,6.9599166,628.0,71.0,5.0,9.6,9.0,5.0,7.1875,5.0,5.5,4.8,4.8,7.38,5.0,-2.0,1.0,-1.0,2023-12-31,3,5,2,2,1,0
RA-359,2023,13,2019,7.627125,383.0,32.0,2.0,9.6,9.2,2.52,7.65625,5.8,6.0,6.7,4.7,8.255,10.0,0.0,0.0,1.0,2023-12-31,3,3,3,2,0,0
RA-360,2023,13,2019,5.790875,887.0,122.0,8.0,0.0,7.3,2.52,7.34375,4.3,5.3,4.8,2.8,7.4225,10.0,0.0,0.0,1.0,2023-12-31,3,3,1,2,0,0
RA-338,2023,13,2019,8.287441,142.0,4.0,2.0,8.3,9.1,7.52,8.59375,6.7,8.7,7.0,4.5,8.38,10.0,0.0,0.0,1.0,2023-12-31,3,3,4,2,1,0
RA-339,2023,12,2019,7.3775835,480.0,47.0,8.0,0.0,8.9,7.52,7.8125,7.1,7.7,5.7,7.8,8.255,10.0,0.0,0.0,0.0,2023-12-31,3,3,3,2,0,0
RA-353,2023,12,2022,8.309016,138.0,3.0,1.0,8.8,9.9,2.52,7.8125,8.4,8.5,7.3,9.5,8.67,10.0,0.0,1.0,0.0,2023-12-31,3,3,4,2,0,0
RA-1153,2023,14,2023,7.9686584,245.0,15.0,3.0,7.9,10.0,7.52,7.65625,7.2,6.7,7.8,7.0,8.63,5.0,-1.0,0.0,,2023-12-31,3,4,3,2,0,0
RA-183,2023,14,2022,7.5862417,403.0,35.0,6.0,7.9,9.7,2.52,7.96875,7.7,7.0,8.0,8.2,8.795,5.0,-1.0,0.0,-1.0,2023-12-31,3,4,3,2,0,0
RA-342,2023,15,2021,7.539875,425.0,38.0,7.0,7.5,8.6,7.52,7.96875,6.6,6.3,7.8,5.7,8.505,5.0,-2.0,0.0,0.0,2023-12-31,3,5,3,2,0,0
RA-187,2023,13,2019,7.809875,297.0,23.0,4.0,7.5,9.9,2.52,7.96875,6.9,7.3,8.7,4.7,8.255,10.0,0.0,0.0,0.0,2023-12-31,3,3,3,0,0,0
RA-190,2023,14,2022,6.9341583,636.0,72.0,9.0,7.9,9.5,2.52,7.65625,5.7,5.8,5.2,6.0,7.9575,5.0,-1.0,1.0,-1.0,2023-12-31,3,4,2,2,0,0
RA-347,2023,13,2019,7.61835,388.0,33.0,5.0,6.7,9.5,2.52,7.8125,7.3,6.7,6.2,9.0,7.7925,10.0,0.0,0.0,1.0,2023-12-31,3,3,3,2,0,0
RA-234,2023,13,2022,6.2487416,821.0,105.0,10.0,6.7,8.0,2.52,4.84375,5.6,6.3,5.3,5.3,5.595,10.0,0.0,1.0,0.0,2023-12-31,3,3,2,2,1,0
RA-1154,2023,13,2023,7.701125,353.0,30.0,2.0,9.6,9.3,5.63,7.65625,5.1,5.3,5.0,5.0,7.67,10.0,0.0,0.0,,2023-12-31,3,3,3,2,1,0
RA-249,2023,15,2017,5.444625,911.0,127.0,10.0,0.0,8.2,5.0,5.15625,4.9,6.2,5.3,3.2,6.545,5.0,-2.0,0.0,-1.0,2023-12-31,3,5,1,2,1,0
RA-380,2023,14,2017,4.912375,925.0,130.0,11.0,0.0,6.4,2.52,6.71875,4.5,7.0,4.0,2.5,6.5425,5.0,-1.0,1.0,0.0,2023-12-31,3,4,1,2,1,0
RA-250,2023,13,2022,7.5982084,398.0,34.0,3.0,0.0,9.3,5.63,7.96875,8.3,7.7,8.8,8.3,8.625,10.0,0.0,0.0,0.0,2023-12-31,3,3,3,2,0,0
RA-367,2023,12,2018,7.38685,475.0,46.0,5.0,8.8,8.7,2.52,7.8125,5.9,7.0,5.5,5.2,7.7925,10.0,0.0,0.0,1.0,2023-12-31,3,3,3,2,0,0
RA-1155,2023,14,2023,7.8216333,290.0,22.0,1.0,9.2,9.2,5.63,7.5,8.0,6.7,8.2,9.0,8.2925,5.0,-1.0,0.0,,2023-12-31,3,4,3,2,0,0
RA-1156,2023,12,2023,7.340775,492.0,50.0,6.0,8.3,9.2,2.52,7.96875,5.3,6.2,6.0,3.7,7.7925,10.0,0.0,0.0,,2023-12-31,3,3,3,2,0,0
RA-368,2023,14,2018,5.7964582,886.0,121.0,8.0,0.0,7.7,2.52,7.03125,6.7,5.0,7.2,7.8,7.34,5.0,-1.0,0.0,0.0,2023-12-31,3,4,1,2,1,0
RA-387,2023,14,2019,4.7943335,927.0,131.0,12.0,0.0,6.8,2.52,6.875,3.0,4.3,2.8,1.8,7.0075,5.0,-1.0,0.0,0.0,2023-12-31,3,4,1,2,1,0
RA-388,2023,15,2019,5.630833,900.0,125.0,9.0,0.0,7.4,5.63,6.875,4.2,6.0,4.3,2.2,7.835,5.0,-2.0,0.0,0.0,2023-12-31,3,5,1,2,0,0
RA-374,2023,13,2021,7.5338917,428.0,39.0,4.0,8.8,8.3,5.63,7.65625,5.4,6.3,6.3,3.7,7.9175,10.0,0.0,1.0,1.0,2023-12-31,3,3,3,0,0,0
RA-377,2023,13,2021,7.205042,541.0,59.0,7.0,9.6,7.6,5.0,7.34375,4.8,6.0,5.7,2.8,7.6275,10.0,0.0,0.0,1.0,2023-12-31,3,3,3,2,0,0
RA-223,2023,14,2022,5.0898333,920.0,129.0,13.0,0.0,4.5,7.52,7.5,3.8,5.5,4.0,1.8,7.1725,5.0,-1.0,1.0,-1.0,2023-12-31,3,4,1,2,0,0
RA-236,2023,13,2022,7.3371167,494.0,51.0,4.0,10.0,7.5,7.52,7.1875,4.5,6.3,4.0,3.3,7.2975,10.0,0.0,0.0,0.0,2023-12-31,3,3,3,2,0,0
RA-362,2023,13,2018,6.392625,793.0,99.0,8.0,0.0,7.5,7.52,7.03125,5.1,5.7,6.8,2.8,7.0875,10.0,0.0,1.0,1.0,2023-12-31,3,3,2,2,0,0
RA-381,2023,14,2018,5.758042,889.0,124.0,12.0,0.0,8.4,6.89,7.34375,3.9,5.3,5.3,1.2,6.84,5.0,-1.0,0.0,0.0,2023-12-31,3,4,1,2,1,0
RA-364,2023,12,2019,7.734892,334.0,26.0,2.0,8.8,9.0,6.89,7.03125,5.8,8.0,5.2,4.3,7.505,10.0,0.0,0.0,0.0,2023-12-31,3,3,3,2,1,0
RA-382,2023,15,2017,6.2238336,829.0,108.0,10.0,0.0,9.4,6.26,7.5,5.2,5.0,5.8,4.7,7.1725,5.0,-2.0,0.0,0.0,2023-12-31,3,5,2,2,1,0
RA-383,2023,12,2019,7.5408,423.0,37.0,3.0,9.2,8.8,3.14,7.5,6.5,6.3,6.2,7.0,7.5,10.0,0.0,0.0,0.0,2023-12-31,3,3,3,2,1,0
RA-384,2023,13,2017,6.7579584,692.0,84.0,7.0,0.0,9.1,2.52,7.65625,7.3,6.3,7.2,8.3,7.335,10.0,0.0,0.0,1.0,2023-12-31,3,3,2,2,0,0
RA-1157,2023,14,2023,7.086633,579.0,63.0,5.0,9.2,8.8,6.26,7.5,5.7,5.0,6.3,5.7,7.0025,5.0,-1.0,0.0,,2023-12-31,3,4,3,2,1,0
RA-386,2023,14,2019,5.758425,888.0,123.0,11.0,9.2,7.0,2.52,7.03125,3.3,5.0,3.7,1.2,6.6325,5.0,-1.0,1.0,0.0,2023-12-31,3,4,1,2,1,0
RA-260,2023,14,2019,8.0800085,205.0,11.0,1.0,9.2,9.9,7.52,7.34375,6.1,6.3,5.2,6.7,7.4175,10.0,0.0,0.0,0.0,2023-12-31,3,3,4,2,0,0
RA-390,2023,13,2022,6.9057417,640.0,74.0,6.0,7.9,8.8,2.52,7.34375,4.8,5.7,5.8,3.0,7.005,10.0,0.0,0.0,1.0,2023-12-31,3,3,2,2,0,0
